video,clip_start_frame,mse,regularity_score
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,72,0.00343180,0.61537167
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,73,0.00326756,0.65588576
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,74,0.00321023,0.67002787
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,75,0.00317899,0.67773609
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,76,0.00314894,0.68514742
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,77,0.00311875,0.69259654
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,78,0.00306990,0.70464577
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,79,0.00304063,0.71186573
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,80,0.00301497,0.71819481
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,81,0.00299957,0.72199593
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,82,0.00299136,0.72401915
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,83,0.00298609,0.72531913
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,84,0.00298340,0.72598504
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,85,0.00298272,0.72615103
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,86,0.00298137,0.72648519
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,87,0.00298180,0.72637795
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,88,0.00298186,0.72636250
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,89,0.00298172,0.72639938
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,90,0.00298154,0.72644205
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,91,0.00298063,0.72666835
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,92,0.00297943,0.72696316
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,93,0.00297927,0.72700342
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,94,0.00297845,0.72720577
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,95,0.00297722,0.72750937
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,96,0.00297731,0.72748640
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,97,0.00297709,0.72753970
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,98,0.00297616,0.72776915
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,99,0.00297632,0.72773142
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,100,0.00297624,0.72774997
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,101,0.00297508,0.72803605
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,102,0.00297552,0.72792704
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,103,0.00297499,0.72805926
